Identifier,industry_raw,sector
SVS.L,real estate industry,Real Estate
SFR.L,iron and steel industry,Materials
TW.L,house-building,Other
TSCO.L,retail chain,Consumer Discretionary
AFGA.OL,construction,Industrials
ABBN.S,robotics,Other
BELL.S,agribusiness,Other
BOS.S,wholesale,Other
VELD.BR,Wholesale trade (business-to-business) of clothing and footwear,Other
BUCN.S,mechanical engineering,Industrials
GURN.S,chemical industry,Materials
LUKN.S,financial services,Financials
BMA.OL,Manufacture of veneer sheets and wood-based panels,Industrials
ROTLV.BX,financial sector,Financials
SNBN.S,public sector,Other
SOFF.OL,water transport,Industrials
CPS.WA,telecommunications,Communication
KNOW.ST,information technology,Information Technology
SPIE.PA,higher education,Other
AAF.L,telecommunications,Communication
PHNX.L,insurance,Financials
SYSR.ST,industrial parts manufacturer,Industrials
BNOR.OL,petroleum industry,Energy
AG1G.DE,e-commerce,Consumer Discretionary
VLS.PA,research and development in biotechnology,Health Care
KIPO.BR,holding company activities,Financials
ADVG.DE,Wholesale (intercompany trade) of electronic and telecommunications equipment and parts,Communication
GETP.PA,transport,Industrials
DIDA.MC,retail,Consumer Discretionary
VWS.CO,wind power industry,Utilities
ACPP.WA,information technology,Information Technology
BIOGb.ST,wholesale (inter-company trade) of pharmaceutical products,Health Care
KNE1L.VL,petroleum industry,Energy
JENGn.DE,Precision engineering and optical industry,Industrials
IBAB.BR,health technology,Health Care
WPP.L,marketing,Other
MT.AS,iron and steel industry,Materials
CMBN.S,financial services,Financials
LEGn.DE,real estate industry,Real Estate
BMED.MI,financial services,Financials
GLTN.PA,activities of head offices,Other
FER.MC,transport,Industrials
WOSG.L,jewelry,Other
IQTr.AT,video game industry,Other
DNP.WA,trade,Other
ALKb.CO,pharmaceutical industry,Health Care
SPGP.CO,plastics industry,Materials
NOVOb.CO,pharmaceutical industry,Health Care
PAALb.CO,construction industry,Industrials
AALB.AS,metal treatment and coating,Materials
BAMN.AS,construction,Industrials
CORB.AS,manufacture of sugar,Industrials
TWKNc.AS,digital media,Communication
TRNT.L,rail transport,Industrials
SECTb.ST,wholesale (inter-company trade) of pharmaceutical products,Health Care
AAL.L,mining,Materials
MDBI.MI,business and other management consulting,Other
EMBI.MI,financial sector,Financials
RECI.MI,wholesale (inter-company trade) of pharmaceutical products,Health Care
SPMI.MI,list of oilfield service companies,Energy
LDOF.MI,aircraft industry,Industrials
FDEV.L,video game industry,Other
ROVI.MC,pharmaceutical industry,Health Care
VGP1.BR,commercial property,Real Estate
KER.WA,agriculture,Consumer Staples
ATCOa.ST,industrial manufacturing,Industrials
BOL.ST,zinc industry,Other
ELUXb.ST,home appliance industry,Other
MSONb.ST,food industry,Consumer Staples
ERICb.ST,information and communications technology,Information Technology
NCCb.ST,construction company,Industrials
RATOb.ST,private equity firm,Other
ISOS.PA,market research,Other
SAND.ST,iron and steel industry,Materials
FSKRS.HE,industrial design,Industrials
HUH1V.HE,product packaging industry,Other
METSB.HE,pulp and paper industry,Materials
VOLCARb.ST,automotive industry,Consumer Discretionary
ODLO.OL,oil well drilling,Energy
NOHOP.HE,restaurant industry,Consumer Discretionary
ASY.PA,engineering,Industrials
ASMI.AS,semiconductor industry,Information Technology
ITH.L,oil and gas extraction,Energy
RAAG.DE,industrial manufacturing,Industrials
IFXGn.DE,semiconductor industry,Information Technology
PSPN.S,real estate company,Real Estate
RWS.L,video game industry,Other
DIGI.BX,telecommunications,Communication
SPECI.L,optics,Other
LSG.OL,seafood,Consumer Staples
DEBS.L,clothing industry,Other
N91.L,financial services,Financials
PETSP.L,retail,Consumer Discretionary
ASRNL.AS,insurance industry,Financials
IVUG.DE,public transport,Industrials
IGG.L,financial services,Financials
EURBr.AT,economics of banking,Financials
WIX.L,retail,Consumer Discretionary
GMAB.CO,biotechnology,Health Care
IFCN.S,industrial manufacturing,Industrials
EQTAB.ST,investment management,Financials
WIZZ.L,air transport,Industrials
VZUG.S,wholesale trade (business-to-business) of household appliances,Consumer Staples
BPTB.L,educational technology,Information Technology
LPPP.WA,retail,Consumer Discretionary
TLGG.H,real estate company,Real Estate
JCDX.PA,activities of head offices,Other
TLXGn.DE,financial services,Financials
ROSNP.BX,petroleum industry,Energy
DOCS.L,fashion,Consumer Discretionary
CASP.PA,retail,Consumer Discretionary
GTT.PA,engineering,Industrials
ALSO.PA,activities of head offices,Other
GYL.OL,publishing,Communication
AUTOA.L,e-commerce,Consumer Discretionary
PEABb.ST,construction industry,Industrials
BOPr.AT,financial services,Financials
BYIT.L,industrial manufacturing,Industrials
ORY.MC,genomics,Other
BMAX.ST,retail,Consumer Discretionary
MIPS.ST,industrial manufacturing,Industrials
EKF.L,health care industry,Health Care
ATRAV.HE,food industry,Consumer Staples
ENAG.MC,energy industry,Other
LAEP.PA,aircraft and space construction,Industrials
LECN.S,battery industry,Other
AIR.PA,aircraft construction,Industrials
ENGP.WA,distribution network operator for electricity,Utilities
RAIVV.HE,food industry,Consumer Staples
EDNn.MI,energy supply,Other
SATG.DE,pharmaceutical industry,Health Care
GFTG.DE,fintech,Other
WISEa.L,financial services,Financials
URW.PA,Q112165561,Other
ENQ.L,petroleum industry,Energy
DIOR.PA,holding company activities,Financials
DNB.OL,financial services,Financials
HELr.AT,construction,Industrials
RACE.MI,automotive industry,Consumer Discretionary
WAWI.OL,freight transport,Industrials
